,OLA OLUWA MOIMOI AND FOOD CANTEEN ,RESTAURANT ,AYETORO ROAD EPE ,EPE,AYETORO,SW,NIGERIA,HXQH+5P Epe,7034671065,"87 Ayetoro Rd, 106101, Epe"
,PETER SUNDAY RESTAURANT ,RESTAURANT ,106101 EPE ,EPE,EPE,SW,NIGERIA,HXJ7+QF Epe,9078256663,"118 Lagos Road, 106101, Epe"
,OLAMI KITCHEN ,RESTAURANT ,100001 EPE ,EPE,NOFORIJA IMOKUN ,SW,NIGERIA,HXCC+5M Epe,8078774029,"No 3 noforija imokun Epe lagos Epe, 100001, Epe"
,YETFAT CATERING SERVICE ,RESTAURANT ,106101 EPE ,EPE,EPE,SW,NIGERIA,HXQ7+9W Epe,7040675000,"Uncle TOA's Place,Papa, 20 Baptist Mission Street, 106101, Epe"
,YETUNDE HADEQAH RESTAURANT ,RESTAURANT ,EPE ,EPE,EPE,SW,NIGERIA,HXPM+RJ Epe,7045702678,"4 MUSA, Owolabi Giwa St, Epe"
,LOVETH RESTAURANT ,RESTAURANT ,106101 EPE ,EPE,EPE,SW,NIGERIA,HXR7+6V Epe,9027039291,"PAPA, 2 Shakiru Tobun St, 106101, Epe"
,SKOLAH KITCHEN ,RESTAURANT ,106101 EPE ,EPE,EPE,SW,NIGERIA,HXHF+VH Epe,8026702844,"10 Lagos Road, 106101, Epe"
,GANIYAT OMODOLAPO RESTAURANT ,RESTAURANT ,106101 EPE ,EPE ,EPE,SW,NIGERIA,HXPM+3H Epe,8135210949,"10 Oke - Balogun St, 106101, Epe"
FESTAC,,,,,,,,,,
,NKECHI BAR & RESTAURANT ,BAR ,FESTAC TOWN ,FESTAC  TOWN ,FESTAC ,SW,NIGERIA,F77P+R5 Lagos,8026231455,"Road C Close, Festac Town, 22 22 Rd, Lagos"
,MESS 1 RESTAURANT ,RESTAURANT ,FESTAC TOWN ,FESTAC  TOWN ,FESTAC ,SW,NIGERIA,F78F+26 Lagos,8038386667,"71 Rd, Festac Town 102102, Lagos"
,CLADON ,BAR ,FESTAC TOWN LAGOS ,FESTAC  TOWN ,FESTAC ,SW,NIGERIA,F7CW+V4 Lagos,8142414700,"1st Avenue plot 03 opp, 112 Road, E Cl, Festac Town, Lagos"
,WOODY'S LOUNGE ,LOUNGE ,FESTAC TOWN LAGOS ,FESTAC  TOWN ,FESTAC ,SW,NIGERIA,F7HQ+8M Lagos,8133663551,"1st Avenue, opposite R Close, Festac Town, Lagos"
,LAKESIDE CHILL ,BAR AND CHILL,300001 LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F78M+HC Lagos,7012072081,"26, amuo origin road, festac, Festac Town 300001, Lagos"
,KANDOS RESTAURANT AND BAR ,BAR ,102102 LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79G+CX Lagos,8113868663,"Road 29 52 Rd, Festac Town 102102, Lagos"
,KALABASH NATIVE RESTAURANT ,RESTAURANT ,102102 LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F78X+M8 Lagos,8178325358,"plot 4 1st Ave, Festac Town 102102, Lagos"
,DYNASTY SPORTS BAR & LOUNGE ,BAR ,AMUWO ODOFIN ESTATE ,FESTAC TOWN ,AMUWO ODOFIN ,SW,NIGERIA,F883+9J Lagos,8186532193,"Festival Mall, Amuwo Odofin Estate, Lagos"
,NATIVE FOODS RESTAURANT ,RESTAURANT ,FESTAC TOWN LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79P+33 Lagos,9082400000,"32/41 Road Junction, Festac Town, Lagos"
,TANTALIZERS FESTAC ,RESTAURANT ,102102 LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F7CF+4J Lagos,8163544920,"23 Rd, Festac Town 102102, Lagos"
,KFC FESTAC ,FAST FOOD RESTAURANT ,100001 LAGOS ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F7GG+H5 Lagos,8063512718,"23 Rd, Festac Town 100001, Lagos"
,CHILLERS BAR AND RESTAURANT ,BAR ,102102 LAGOS ,FESTAC TOWN ,AMUWO ODOFIN ,SW,NIGERIA,F8C5+QH Lagos,8184915981,"6 Ausbeth Ajagu St, Amuwo Odofin Estate 102102, Lagos"
,ZIZI'S SPORTS BAR AND LOUNGE,BAR ,FESTAC ACCESS ROAD ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79X+6W Lagos,8093828359,"18A PLOT 2018 Lagos, Festac Access Rd, Lagos"
,7 DAYS INN ,BAR,102102 FESTAC TOWN ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F7GH+9X Lagos,8060163206,"Plot 271 4th Ave, Festac Town 102102, Lagos"
,DOMINOS PIZZA ,PIZZA RESTAURANT ,FESTAC TOWN ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79X+92 Lagos,9038864362,"Plot R, 1st Ave, Festac Town, Lagos"
,BEJOY RESTAURANT ,RESTAURANT ,102102 FESTAC  ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79P+C3 Lagos,8033055291,"32 Rd, Festac Town 102102, Lagos"
,SEASON 7 RESTAURANT ,RESTAURANT ,102102 FESTAC ,FESTAC TOWN ,FESTAC ,SW,NIGERIA,F79H+Q9 Lagos,7081086406,"52 Rd, Festac Town 102102, Lagos"
